1254,28,1
1263,5,1
1296,0.5,1
1306,45,1
1333,1.5,1
1360,1.5,1
1382,36,1
1506,6,1
1507,6,1
1508,6,1
1509,6,1
1510,6,1
1511,6,1
1512,6,1
1563,32,1
1579,7.5,1
1642,36,1
1650,0,1
1651,2.5,1
1697,33,1
1765,35,1
1779,34,1
1802,42,1
1936,22,1
1986,26,1
2009,0,1
2013,8,1
2037,20,1
2072,30,1
2300,25,1
2353,57,1
2374,115,1
2411,38,1
2717,32,1
3186,15,1
3244,1.5,1
3298,14,1
3372,22,1
3420,0,1
3421,0.5,1
3564,18,1
3585,2,1
3624,0,1
3647,8,1
3687,8,1
3707,0,1
3738,5,1
3791,0,1
3823,6.5,1
3868,52.5,1
3869,52.5,1
3870,52.5,1
3871,52.5,1
3872,52.5,1
3873,52.5,1
3874,52.5,1
3876,52.5,1
3877,52.5,1
3878,52.5,1
3879,52.5,1
3879,15,1
3880,15,1
3881,15,1
3882,15,1
3883,15,1
3884,15,1
3885,15,1
3886,15,1
3887,15,1
3888,15,1
3889,15,1
3890,15,1
3891,15,1
3892,15,1
3893,15,1
3894,15,1
3895,15,1
3896,15,1
3897,15,1
3897,32.5,1
3898,32.5,1
3899,32.5,1
3900,32.5,1
3901,32.5,1
3902,32.5,1
3923,30,1
3989,18,1
4080,150,1
4134,33,1
4254,42,1
4255,42,1
4256,42,1
4257,42,1
4258,42,1
4321,12,1
4377,14,1
4726,10,1
4746,2,1
4781,55,1
4782,55,1
4783,55,1
4784,55,1
4815,2,1
4837,0,1
4895,2,1
4903,15,1
4896,9,1
4965,9,1
5012,10,1
5076,22,1
5090,46,1
5111,22,1
5120,24,1
5157,12,1
5175,16,1
5235,27,1
5213,9,1
5224,22,1
5254,5,1
5283,19,1
5385,0,1
5304,25,1
5309,13,1
5398,8,1
5437,20,1
5441,12,1
5481,20,1
5521,25,1
5561,46,1
5604,44,1
5716,23,1
5764,41,1
